COUNTER;NAME    ;GRUPPE  ;NUMMER  ;GERAET  ;Temp;FehlerNr;PRIO    ;BESCHREIBUNG;URSACHE ;BEMERK. ;LEVEL   ;SW-VERS ;REAKT.  ;QUIT    ;ABHILFE ;KUERZEL ;Vari_Nr;ET;;;;;;;;;;;;;;;;;;;;
237;"Modem Netzanmeldung
";"26
";"51
";"A
";;A2651;"0
";Modem network login;The modem cannot log into the relevant network.;"Keine DFÜ-Kommunikation.
";"SERV1
";"ab 1.00
";;Automatically if error is rectified;GPRS:- Is the SIM card present?- Is the SIM card GPRS-capable?- Is the PIN code correct?- Have the GPRS module parameters been checked?- Check the device is ready to receive.WLAN:- Check WLAN parameters.- Check the device is ready to receive.;"Vo,ReS
";"ERR_MOK_ModemNetz_251
";;;;;;;;;;;;;;;;;;;;;
238;"Modem Sendetimeout
";"26
";"52
";"A
";;A2652;"0
";Modem transmission timeout;Modem does not confirm transmission of data before timeout.;"Keine DFÜ-Kommunikation
";"SERV1
";"ab 1.00
";;Key switch;Switch truck off (display must be switched off), then switch back on.;"Vo, ReS
";"ERR_MOK_Modemtimeout_252
";;;;;;;;;;;;;;;;;;;;;
240;"Kom.Server nicht erreichbar
";"26
";"53
";"A
";;A2653;"0
";Communication server not available;Modem cannot connect to the communication server.;"Keine DFÜ-Kommunikation.
";"SERV1
";"ab 1.00
";;Automatically if error is rectified;Have communication server checked to ensure it is functioning correctly.;"Vo, ReS
";"ERR_MOK_KomSrv_254
";;;;;;;;;;;;;;;;;;;;;
275;"Fehler Prozess 1
";"28
";"01
";"A
";;A2801;"16
";Internal process error in accelerator signal;Accelerator signal voltage difference SR<-->UR outside limit;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu01_327
";;;;;;;;;;;;;;;;;;;;;
276;"Fehler Prozess 2
";"28
";"02
";"A
";;A2802;"16
";Internal SU relay test;The SU failed to complete the safety relay test for switching on the contactor without errors. The relay may be stuck.;"
";"NORM
";"1.03
";No contactor activation;Key switch;If the error keeps occurring, replace the SU.;"pdv/ReS
";"ERR_UE_pzu02_328
";;;;;;;;;;;;;;;;;;;;;
277;"Fehler Prozess 3
";"28
";"03
";"A
";;A2803;"16
";Internal process error in lift lever;Process monitoring detected an error. Lift lever (drive direction forwards/backwards/actuation);"Prozessueberwachung Proz 3-5
";"NORM
";"0.36
";Drive direction in neutral;Automatically if error is rectified;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu03_329
";;;;;;;;;;;;;;;;;;;;;
278;"Fehler Prozess 4
";"28
";"04
";"A
";;A2804;"16
";ELF communication;Communication to the electric parking brake is disrupted. Electric parking brake is malfunctioning.;"Prozessueberwachung Prozess ELF
";"NORM
";"1.10
";Drive direction in neutral;Automatically if error is rectified;Delete error list. If the error keeps occurring, replace the MCU.;"pdv/ReS
";"ERR_UE_pzu04_330
";;;;;;;;;;;;;;;;;;;;;
280;"Fehler Prozess 6
";"28
";"06
";"A
";;A2806;"16
";Internal process error in mini-console;Process monitoring detected an error. Drive direction information in mini-console (incorrect interpretation);"
";"NORM
";"0.36
";Drive direction in neutral;Automatically if error is rectified;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu06_332
";;;;;;;;;;;;;;;;;;;;;
281;"Fehler Prozess 7
";"28
";"07
";"A
";;A2807;"16
";Internal process error;Implausible processing of nominal speed und nominal number of revolutions.;"
";"NORM
";"1.03
";Drive unit is locked, no drive function;Release accelerator;If the error keeps occurring, replace the MCU.;"pdv/ReS
";"ERR_UE_pzu07_333
";;;;;;;;;;;;;;;;;;;;;
282;"Fehler Prozess 8
";"28
";"08
";"A
";;A2808;"16
";Internal process error;No reaction to run-up integrator reset command;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu08_334
";;;;;;;;;;;;;;;;;;;;;
283;"Fehler Prozess 9
";"28
";"09
";"A
";;A2809;"16
";Internal process error in accelerator;Vnom limit exceeded --> Vmax forwards, reverse;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu09_335
";;;;;;;;;;;;;;;;;;;;;
284;"Fehler Prozess 10
";"28
";"10
";"A
";;A2810;"16
";Internal process error in accelerator;Vsoll does not match the drive direction (implausible);"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu10_336
";;;;;;;;;;;;;;;;;;;;;
285;"Fehler Prozess 11
";"28
";"11
";"A
";;A2811;"16
";Internal process error in traction converter 1;Traction converter 1 (right): Converter variable is outside the permitted range.;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU buffer battery (reset the time) and flash the truck software.;"Shli,We
";"ERR_UE_pzu11_337
";;;;;;;;;;;;;;;;;;;;;
286;"Fehler Prozess 12
";"28
";"12
";"A
";;A2812;"16
";Internal process error in traction converter 2;Traction converter 2 (left): Converter variable is outside the permitted range.;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu12_338
";;;;;;;;;;;;;;;;;;;;;
287;"Fehler Prozess 13
";"28
";"13
";"A
";;A2813;"16
";Internal process error in traction converter 1;Traction converter 1 (right): Replication of the converter variable;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu13_339
";;;;;;;;;;;;;;;;;;;;;
288;"Fehler Prozess 14
";"28
";"14
";"A
";;A2814;"16
";Internal process error in traction converter 2;Traction converter 2 (left): Replication of the converter variable;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu14_340
";;;;;;;;;;;;;;;;;;;;;
289;"Fehler Prozess 15
";"28
";"15
";"A
";;A2815;"16
";Traction converter 1: Process error in the number of revolutions;Traction converter 1 (right): Converter rev counting;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Check rev sensor and wiring.;"Shli,We
";"ERR_UE_pzu15_341
";;;;;;;;;;;;;;;;;;;;;
290;"Fehler Prozess 16
";"28
";"16
";"A
";;A2816;"16
";Traction converter 2: Process error in the number of revolutions;Traction converter 2 (left): Converter rev counting;"
";"NORM
";"0.36
";Drive unit is locked, no drive function;Release accelerator;Check rev sensor and wiring.;"Shli,We
";"ERR_UE_pzu16_342
";;;;;;;;;;;;;;;;;;;;;
291;"Fehler Prozess 17
";"28
";"17
";"A
";;A2817;"16
";Internal process error.;Escalation of process monitoring. The control processor did not respond in time to a previous process monitoring fault.;"
";"NORM
";"0.36
";No contactor activation;Key switch;Delete error list. If the error keeps occurring, replace the MCU.;"Shli,We
";"ERR_UE_pzu17_343
";;;;;;;;;;;;;;;;;;;;;
311;"Plaus. Stromsollwert / -istwert
";"28
";"60
";"A
";;A2860;"0
";Internal process error in valve block;A current was measured in a valve without a setpoint value being present (occurs if transistor is faulty, for example);"
";"SERV1
";"
";Working hydraulics not active;Transmitter zero position;Check wiring to valve block. Replace wiring or valve block.;"De
";"ERR_UE_SR_PLAUS_376
";;;;;;;;;;;;;;;;;;;;;
330;"Plaus. Sollwertgeber
";"28
";"61
";"A
";;A2861;"0
";Internal process error in valve processor;The setpoint device data received in the valve processor does not match the setpoint device data sent by the control processor.;"Ventilrechner Plausibilitaetsfehler Sollwertgeber
";"SERV1
";"ab V1.00
";Working hydraulics not active;Transmitter zero position;Flash the truck software.;"De
";"ERR_VR_PLAUS_SOLLW_GEB_402
";;;;;;;;;;;;;;;;;;;;;
331;"Plaus. Stromsollwert 
";"28
";"62
";"A
";;A2862;"0
";Internal process error in valve processor;The valve processor has detected that the setpoint device data for calculating the current setpoint values does not match the current setpoint values sent by the control processor;"----
";"SERV1
";"ab V1.00
";Working hydraulics not active;Transmitter zero position;Flash the truck software.;"De
";"ERR_VR_PLAUS_ISOLL_403
";;;;;;;;;;;;;;;;;;;;;
332;"Plaus. Pumpensollwert
";"28
";"63
";"A
";;A2863;"0
";Internal process error in valve processor;The valve processor has detected that the pump setpoint values sent by the control processor are not permissible.;"----
";"SERV1
";"ab V1.00
";Working hydraulics not active;Transmitter zero position;Flash the truck software.;"De
";"ERR_VR_PLAUS_PUMP_404
";;;;;;;;;;;;;;;;;;;;;
36;"RN1: Anmeldung und HochlIF 1
";"29
";"02
";"A
";;A2902;"16
";Internal process error;Synchronous serial interface could not be initialised.;"SSC Anmeldung und Hochlauf
keine Kommunikation zwischen beiden Microcontrollern im Steuergeraet
";"SERV1
";"ab 0.02
";No contactor activation;Key switch;Replace MCU;"We,FiAn
";"ERR_SSC_INIT_44
";;;;;;;;;;;;;;;;;;;;;
37;"RN1: RN A - RN B (Sendef.) IF 1
";"29
";"03
";"A
";;A2903;"16
";Internal process error;Synchronous serial interface cannot send or receive;"SSC Uebertragungsfehler
keine Kommunikation zwischen beiden Microcontrollern im Steuergeraet
";"SERV1
";"ab 0.02
";Reset;;Replace MCU;"We,FiAn
";"ERR_SSC_TR_REC_45
";;;;;;;;;;;;;;;;;;;;;
38;"RN1: RN A - RN B (Empf.-F) IF 1
";"29
";"04
";"A
";;A2904;"0
";Internal process error;Check sum or watchdog error;"SSC Checksumme oder Watchdog
";"SERV1
";"ab 0.02
";Reset;;Replace MCU;"We,FiAn
";"ERR_SSC_CHKS_46
";;;;;;;;;;;;;;;;;;;;;
268;"RN2: Anmeldung und HochlIF 1
";"29
";"12
";"A
";;A2912;"16
";Internal process error;Synchronous serial interface could not be initialised.;"keine Kommunikation zwischen beiden Microcontrollern im Steuergeraet
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Flash the truck software. Replace MCU.;"We,FiAn
";"ERR_UE_SSC_INIT_300
";;;;;;;;;;;;;;;;;;;;;
269;"RN2: RN A - RN B (Sendef.) IF 1
";"29
";"13
";"A
";;A2913;"16
";Internal process error;Synchronous serial interface cannot send or receive;"keine Kommunikation zwischen beiden Microcontrollern im Steuergeraet
";"SERV1
";"ab 0.01
";No contactor activation;Key switch;Flash the truck software. Replace MCU.;"We,FiAn
";"ERR_UE_SSC_TR_REC_301
";;;;;;;;;;;;;;;;;;;;;
270;"RN2: RN A - RN B (Empf.-F) IF 1
";"29
";"14
";"A
";;A2914;"16
";Internal process error;Check sum or watchdog error;"---
";"SERV1
";"ab 0.01
";Reset;;Flash the truck software. Replace MCU.;"We,FiAn
";"ERR_UE_SSC_CHKS_302
";;;;;;;;;;;;;;;;;;;;;
122;"Fahrg.: GND-Abriss Poti 1
";"30
";"02
";"A
";;A3002;"0
";Accelerator breakdown;Potentiometer voltage outside the permitted range;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Automatically if error is rectified;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_gnd_1_132
";;;;;;;;;;;;;;;;;;;;;
123;"Fahrg.: VCC-Abriss Poti 1
";"30
";"03
";"A
";;A3003;"0
";Accelerator breakdown;Potentiometer voltage outside the permitted range;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Automatically if error is rectified;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_vcc_1_133
";;;;;;;;;;;;;;;;;;;;;
124;"Fahrg.: GND-Abriss Poti 2
";"30
";"04
";"A
";;A3004;"0
";Accelerator breakdown;Potentiometer voltage outside the permitted range;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Automatically if error is rectified;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_gnd_2_134
";;;;;;;;;;;;;;;;;;;;;
125;"Fahrg.: VCC-Abriss Poti 2
";"30
";"05
";"A
";;A3005;"0
";Accelerator breakdown;Potentiometer voltage outside the permitted range;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Automatically if error is rectified;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_vcc_2_135
";;;;;;;;;;;;;;;;;;;;;
126;"Fahrg.-Sch. schaltet nicht EIN
";"30
";"06
";"A
";;A3006;"0
";Accelerator error;Accelerator voltage is so high that the switch has to switch;"nur bei 1-Pedal mit einem Poti und Schalter
Offset an Pedalschalter zu gross
Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Automatically if error is rectified;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_s_on_136
";;;;;;;;;;;;;;;;;;;;;
127;"Fahrg.-Sch. schaltet nicht AUS
";"30
";"07
";"A
";;A3007;"0
";Accelerator error;Accelerator voltage is so low that the switch has to switch;"nur bei 1-Pedal mit einem Poti und Schalter
Offset an Pedalschalter zu klein
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;;Check the accelerator.;"MSch,ZiRo
";"ERR_FGB_s_off_137
";;;;;;;;;;;;;;;;;;;;;
130;"Plausib.-Fehler Fahrg.
";"30
";"08
";"A
";;A3008;"0
";Accelerator error;Accelerator voltages do not match;"Meldetext: FAHRGEBER
";"NORM
";"ab 0.01
";Truck will not drive, accelerator has no effect;Release accelerator;Check dual-pedal accelerator.;"MSch,ZiRo
";"ERR_FGB_plau_140
";;;;;;;;;;;;;;;;;;;;;
132;"Bremsgeber: GND-Abriss Poti
";"30
";"16
";"A
";;A3016;"0
";Brake sensor breakdown;Potentiometer voltage outside the permitted range;"GND-Abriss Bremsgeber
Meldetext: BREMSGEBER
";"NORM
";"ab 0.01
";Truck can only be driven at emergency mode speed;Automatically if error is rectified;Check brake sensor.;"We
";"ERR_BRG_gnd_142
";;;;;;;;;;;;;;;;;;;;;
131;"Bremsgeber: VCC-Abriss poti
";"30
";"17
";"A
";;A3017;"0
";Brake sensor breakdown;Potentiometer voltage outside the permitted range;"VCC-Abriss Bremsgeber
Meldetext: BREMSGEBER
";"NORM
";"ab 0.01
";Truck can only be driven at emergency mode speed;Automatically if error is rectified;Check brake sensor.;"We
";"ERR_BRG_vcc_141
";;;;;;;;;;;;;;;;;;;;;
129;"Fahrtrichtung Sammelf.
";"30
";"20
";"A
";;A3020;"16
";Drive direction switch error;An error was detected in an input device for the drive direction.;"Solange der Fehlerzustand anhaelt, kann die Fahrtrichtung auch
von keinem anderen Eingabegeraet gesetzt werden.
Meldetext FAHRTRICHTUNG
";"NORM
";"ab 0.27
";Drive direction in neutral;Key switch;Check wiring or drive direction switch, replacing if necessary.;"We
";"ERR_FGB_FahrtRicht_139
";;;;;;;;;;;;;;;;;;;;;
155;"Fahrtrichtungstaster Heben-Hebel
";"30
";"21
";"A
";;A3021;"0
";Lift lever drive direction switch;Error evaluating the drive direction switch for the lift lever.;"Solange der Fehlerzustand anhaelt, kann die Fahrtrichtung auch
von keinem anderen Eingabegeraet gesetzt werden.
";"SERV1
";"ab. 0.99
";Drive direction in neutral;Automatically if error is rectified;Check wiring or drive direction switch, replacing if necessary.;"pdv/ReS
";"ERR_FRS_HH_166
";;;;;;;;;;;;;;;;;;;;;
144;"Sitzsch. oeffnet nicht
";"30
";"27
";"A
";;A3027;"0
";Seat switch error;Seat switch does not open;"Sitzschalter muss sich nach einer bestimmten Zeit (ca.8h)
einmal geoeffnet haben
Meldetext: SITZSCHALTER
";"NORM
";"ab 0.01
";Parameterisable: Limit hydraulics and/or speed;Automatically if error is rectified;Check seat switch.;"We
";"ERR_vfm_Sitz_154
";;;;;;;;;;;;;;;;;;;;;
142;"Bremsfl.-sch. Sammelf.
";"30
";"35
";"A
";"3035
";A3035;"0
";Brake fluid switch error;Brake fluid level too low or switch faulty;"Klartextfehlermeldung auf der ABE
Meldetext: BREMSGEBER
";"NORM
";"ab 0.01
";Truck will only drive in emergency operation;;Top up fluid or repair switch;"ZiRo
";"ERR_SWI_Brf_152
";;;;;;;;;;;;;;;;;;;;;
135;"Hebengeber: GND-Abriss Poti
";"31
";"02
";"A
";;A3102;"0
";Lift transmitter breakdown;Potentiometer voltage outside the permitted range;"GND-Abriss Hebengeber
Meldetext: HEBEN
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check lift transmitter and wiring.;"ZiRo
";"ERR_heb_gnd_145
";;;;;;;;;;;;;;;;;;;;;
134;"Hebengeber: VCC-Abriss poti
";"31
";"03
";"A
";;A3103;"0
";Lift transmitter breakdown;Potentiometer voltage outside the permitted range;"VCC-Abriss Hebengeber
Meldetext: HEBEN
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check lift transmitter and wiring.;"ZiRo
";"ERR_heb_vcc_144
";;;;;;;;;;;;;;;;;;;;;
137;"Neigengeber: GND-Abriss Poti
";"31
";"07
";"A
";;A3107;"0
";Tilt transmitter breakdown;Potentiometer voltage outside the permitted range;"GND-Abriss Neigengeber
Meldetext: NEIGEN
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check tilt transmitter and wiring.;"ZiRo
";"ERR_nei_gnd_147
";;;;;;;;;;;;;;;;;;;;;
136;"Neigengeber: VCC-Abriss poti
";"31
";"08
";"A
";;A3108;"0
";Tilt transmitter breakdown;Potentiometer voltage outside the permitted range;"VCC-Abriss Neigengeber
Meldetext: NEIGEN
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check tilt transmitter and wiring.;"ZiRo
";"ERR_nei_vcc_146
";;;;;;;;;;;;;;;;;;;;;
139;"Zusatzgeber 1: GND-Abriss Poti
";"31
";"12
";"A
";;A3112;"0
";Additional transmitter 1 breakdown;Potentiometer voltage outside the permitted range;"GND-Abriss Z1
Meldetext: ZUSATZ1
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check additional transmitter 1 and wiring.;"ZiRo
";"ERR_z1_gnd_149
";;;;;;;;;;;;;;;;;;;;;
138;"Zusatzgeber 1: VCC-Abriss poti
";"31
";"13
";"A
";;A3113;"0
";Additional transmitter 1 breakdown;Potentiometer voltage outside the permitted range;"VCC-Abriss Z1
Meldetext: ZUSATZ1
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check additional transmitter 1 and wiring.;"ZiRo
";"ERR_z1_vcc_148
";;;;;;;;;;;;;;;;;;;;;
141;"Zusatzgeber 2: GND-Abriss Poti
";"31
";"17
";"A
";;A3117;"0
";Additional transmitter 2 breakdown;Potentiometer voltage outside the permitted range;"GND-Abriss Z2
Meldetext: ZUSATZ2
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check additional transmitter 2 and wiring.;"ZiRo
";"ERR_z2_gnd_151
";;;;;;;;;;;;;;;;;;;;;
140;"Zusatzgeber 2: VCC-Abriss poti
";"31
";"18
";"A
";;A3118;"0
";Additional transmitter 2 breakdown;Potentiometer voltage outside the permitted range;"VCC-Abriss Z2
Meldetext: ZUSATZ2
";"NORM
";"ab 0.01
";No setpoint speed through this transmitter;Automatically if error is rectified;Check additional transmitter 2 and wiring.;"ZiRo
";"ERR_z2_vcc_150
";;;;;;;;;;;;;;;;;;;;;
153;"Drucksensor: GND-Abriss Poti
";"31
";"27
";"A
";;A3127;"0
";Pressure sensor breakdown;GND breakdown;"GND-Abriss Drucksensor
";"SERV1
";"ab 0.01
";No calculation of the measured pressure value (display value: 9999 kg);Automatically if error is rectified;Check pressure sensor and wiring.;"ZiRo
";"ERR_dru_gnd_164
";;;;;;;;;;;;;;;;;;;;;
152;"Drucksensor: VCC-Abriss poti
";"31
";"28
";"A
";;A3128;"0
";Pressure sensor breakdown;VCC breakdown;"VCC-Abriss Drucksensor
";"SERV1
";"ab 0.01
";No calculation of the measured pressure value (display value: 9999 kg);Automatically if error is rectified;Check pressure sensor and wiring.;"ZiRo
";"ERR_dru_vcc_163
";;;;;;;;;;;;;;;;;;;;;
234;"Mast-Senkrecht Sensor Fehler
";"31
";"30
";"A
";;A3130;"0
";Mast vertical position sensor error;A) Sensor signal for track 1 does not correspond to track 2B) System startup;"Bei aktiver Funktion (Taste gedrückt) wird der Antrieb gesperrt.
";"NORM
";"ab 1.01
";Hydraulic drive is disabled;Deactivation of the function (press button);Case A: Check mast sensor system, replacing sensor if necessary;"FEE/De
";"ERR_MAS_S_PLAU_248
";;;;;;;;;;;;;;;;;;;;;
235;"Mast-Senkrecht GND Fehler
";"31
";"31
";"A
";;A3131;"0
";Mast vertical position GND error;A) Sensor signal breakdown or short circuit to GNDB) System startup;"Bei aktiver Funktion (Taste gedrückt) wird der Antrieb gesperrt.
";"NORM
";"ab 1.01
";Hydraulic drive is disabled;Deactivation of the function (press button);Case A: Check mast sensor system, replacing MCU if necessary;"FEE/De
";"ERR_MAS_GND_249
";;;;;;;;;;;;;;;;;;;;;
241;"Mast-Senkrecht VCC Fehler
";"31
";"32
";"A
";;A3132;"0
";Mast vertical position VCC error;A) Sensor signal breakdown or short circuit to supply voltageB) System startup;"Bei aktiver Funktion (Taste gedrückt) wird der Antrieb gesperrt.
";"NORM
";"ab 1.01
";Hydraulic drive is disabled;Deactivation of the function (press button);Case A: Check mast sensor system, replacing sensor system if necessary;"FEE/De
";"ERR_MAS_VCC_255
";;;;;;;;;;;;;;;;;;;;;
333;"Mast-Senkrecht Plausibilitaet
";"31
";"35
";"A
";;A3135;"0
";Mast vertical position plausibility;The following was observed in the valve processor:- There is a setpoint value for the valve opening- However, the actual angle does not change;"----
";"SERV1
";"ab 0.35
";Working hydraulics not active;;Check sensor system at the mast and wiring;"De,HR
";"ERR_VR_MAS_PLAUS_405
";;;;;;;;;;;;;;;;;;;;;
200;"Plausib. Sensorfunktion
";"31
";"48
";"A
";;A3148;"0
";Process error in lift height detection;Model calculation for the lift height detects error;"nur bei Variante: Sicherheitspaket Hubhoehenerkennung
Plausibilitaet SHE
";"SERV1
";"ab 0.01
";Driver is requested to perform a new reference drive;;Reference drive. Check lift height sensor and wiring. Incorrect cylinder cross-section parameterised.;"We, AW
";"ERR_SHE_BETRIEB_214
";;;;;;;;;;;;;;;;;;;;;
316;"Plausibilitaet Fahrtrichtung
";"31
";"49
";"A
";;A3149;"0
";Drive direction switch error;A drive direction switch plausibility error is detected in the mini-lever;"
";"SERV1
";"
";Drive unit is locked, no drive function;Key switch;Delete error list. If the error keeps occurring, replace the drive direction switch.;"De
";"ERR_UE_FIT_FRS_381
";;;;;;;;;;;;;;;;;;;;;
317;"Plausibilitaet 5. Funktion
";"31
";"50
";"A
";;A3150;"0
";F button error;An F button plausibility error is detected in the mini-lever;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Check F button, replacing mini-lever/fingertip if necessary.;"De
";"ERR_UE_FIT_FUNKT5_382
";;;;;;;;;;;;;;;;;;;;;
302;"Sollwertgeber nicht passend
";"31
";"61
";"A
";;A3161;"0
";Incorrect setpoint device parameterised;Incorrect type of setpoint device or incorrect software version in setpoint device;"Nur Meldung
";"SERV1
";"
";;Key switch;Correct setpoint device parameterised.;"De
";"ERR_UE_JS_DATA_358
";;;;;;;;;;;;;;;;;;;;;
303;"Joyst: Plausibilitaet.x-Richtung
";"31
";"66
";"A
";;A3166;"0
";Internal process error in x-axis of joystick;An error is detected in the joystick;"---
";"SERV1
";"
";Hydraulic drive is disabled;Key switch;Delete error list. If the error keeps occurring, recalibrate or replace the joystick.;"De
";"ERR_UE_JOY_PLS_X_363
";;;;;;;;;;;;;;;;;;;;;
304;"Joyst: Plausibilitaet.y-Richtung
";"31
";"67
";"A
";;A3167;"0
";Internal process error in y-axis of joystick;An error is detected in the joystick;"---
";"SERV1
";"
";Working hydraulics not active;Key switch;Delete error list. If the error keeps occurring, recalibrate or replace the joystick.;"De
";"ERR_UE_JOY_PLS_Y_364
";;;;;;;;;;;;;;;;;;;;;
305;"Joystick: Plausibilitaet. Wippe
";"31
";"68
";"A
";;A3168;"0
";Internal process error in rocker joystick;An error is detected in the joystick;"---
";"SERV1
";"
";Working hydraulics not active;Key switch;Delete error list. If the error keeps occurring, recalibrate or replace the joystick.;"De
";"ERR_UE_JOY_PLS_W_365
";;;;;;;;;;;;;;;;;;;;;
306;"Joystick: EEPROM Fehler
";"31
";"69
";"A
";;A3169;"16
";Internal process error in joystick;Hardware error in the EEprom or loss of power during calibration process;"---
";"SERV1
";"
";Working hydraulics not active;Key switch;Delete error list. If the error keeps occurring, recalibrate or replace the joystick.;"R+T/hr
";"ERR_UE_JOY_EEPROM_366
";;;;;;;;;;;;;;;;;;;;;
307;"Fingertip Gen.I: Basisnummer
";"31
";"70
";"A
";;A3170;"0
";Internal process error in mini-lever;General error in setpoint device for fingertip/mini-lever;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Replace mini-lever;"De
";"ERR_UE_JOY_FING_GRP_371
";;;;;;;;;;;;;;;;;;;;;
312;"Fit Gen.I+II: Fehler Hebel1
";"31
";"71
";"A
";;A3171;"16
";Error in fingertip/mini-lever (lever 1);A lever 1 plausibility error is detected in the mini-lever;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Check lever 1, replacing if necessary. Replace entire fingertip.;"De
";"ERR_UE_FIT_POT1_377
";;;;;;;;;;;;;;;;;;;;;
313;"Fit Gen.I+II: Fehler Hebel2
";"31
";"72
";"A
";;A3172;"16
";Error in fingertip/mini-lever (lever 2);A lever 2 plausibility error is detected in the mini-lever console;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Check lever 2, replacing if necessary. Replace entire fingertip.;"De
";"ERR_UE_FIT_POT2_378
";;;;;;;;;;;;;;;;;;;;;
314;"Fit Gen.I+II: Fehler Hebel3
";"31
";"73
";"A
";;A3173;"16
";Error in fingertip/mini-lever (lever 3);A lever 3 plausibility error is detected in the mini-lever console;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Check lever 3, replacing if necessary. Replace entire fingertip.;"De
";"ERR_UE_FIT_POT3_379
";;;;;;;;;;;;;;;;;;;;;
315;"Fit Gen.I+II: Fehler Hebel4
";"31
";"74
";"A
";;A3174;"16
";Error in fingertip/mini-lever (lever 4);A lever 4 plausibility error is detected in the mini-lever console;"
";"SERV1
";"
";Working hydraulics not active;Key switch;Check lever 4, replacing if necessary. Replace entire fingertip.;"De
";"ERR_UE_FIT_POT4_380
";;;;;;;;;;;;;;;;;;;;;
318;"Fingertip Gen.II: Plaus. Hebel
";"31
";"80
";"A
";;A3180;"0
";Internal process error in fingertip;The fingertip reports an error in the operating levers;"
";"SERV1
";"
";Working hydraulics not active;Automatically if error is rectified;Check fingertip, replacing if necessary.;"De
";"ERR_FIT2_HEBEL_383
";;;;;;;;;;;;;;;;;;;;;
154;"Fingertip Gen.II: Plaus. FR
";"31
";"81
";"A
";;A3181;"0
";Internal process error in fingertip;Defective Hall sensor;"
";"SERV1
";"ab 1.01
";Drive unit is disabled;Automatically if error is rectified;Check fingertip, replacing if necessary.;"pdv/res
";"ERR_FTI2_FR_165
";;;;;;;;;;;;;;;;;;;;;
321;"VR Hauptschalter
";"31
";"90
";"A
";;A3190;"0
";Valve processor error;- The main switch for supplying the output stage is switched off, but the voltage behind the main switch is not cut off.- The main switch is switched on and the voltage drop over the main switch is over 800 mV.- The test is run once during run-up and again at regular intervals during operation.;"----
";"SERV1
";"ab 0.01
";Hydraulic drive is disabled;Key switch;"Check the wire to the solenoid coil (hydraulic block) for a short circuit. Check the tilt backwards wiring 2Y3; replace the MCU if necessary";"De
";"ERR_VR_HAUPTSCHALTER_387
";;;;;;;;;;;;;;;;;;;;;
